pmc_id,tab_lb,row_id,tab_id,trait_in_article,trait_in_onto,trait_uri,chromosome,marker,marker_uri,gene,gene_uri,doi
6034811,4,12,3,qOPA-7.1,,,7,c2_10461,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_10461,,,10.1371/journal.pone.0199716
6034811,4,13,3,qOPA-6.1,,,6,c2_31144,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_31144,,,10.1371/journal.pone.0199716
6034811,4,14,3,qOPA-12.1,,,12,c1_3172,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_3172,,,10.1371/journal.pone.0199716
5895667,4,1,14,Tuber shape,tuber shape,http://purl.obolibrary.org/obo/SP_0000201,,pPt-472129,,,,10.1007/s13353-018-0433-x
5895667,4,2,14,Tuber shape,tuber shape,http://purl.obolibrary.org/obo/SP_0000201,,pPt-538564,,,,10.1007/s13353-018-0433-x
5895667,4,3,14,Tuber shape,tuber shape,http://purl.obolibrary.org/obo/SP_0000201,,pPt-471810,,,,10.1007/s13353-018-0433-x
5895667,4,4,14,Tuber shape,tuber shape,http://purl.obolibrary.org/obo/SP_0000201,,pPt-559534,,,,10.1007/s13353-018-0433-x
5895667,4,5,14,Regularity of tuber shape,tuber shape,http://purl.obolibrary.org/obo/SP_0000201,,pPt-537507–pPt-471438,,,,10.1007/s13353-018-0433-x
5895667,4,6,14,Regularity of tuber shape,tuber shape,http://purl.obolibrary.org/obo/SP_0000201,,pPt-538540,,,,10.1007/s13353-018-0433-x
5895667,4,7,14,Regularity of tuber shape,tuber shape,http://purl.obolibrary.org/obo/SP_0000201,,pPt-651535,,,,10.1007/s13353-018-0433-x
5895667,4,8,14,Regularity of tuber shape,tuber shape,http://purl.obolibrary.org/obo/SP_0000201,,pPt-472014–pPt-655594,,,,10.1007/s13353-018-0433-x
5895667,4,9,14,Regularity of tuber shape,tuber shape,http://purl.obolibrary.org/obo/SP_0000201,,pPt-653841,,,,10.1007/s13353-018-0433-x
5895667,4,10,14,Eye depth,,,,pPt-655486,,,,10.1007/s13353-018-0433-x
5895667,4,11,14,Eye depth,,,,pPt-459017,,,,10.1007/s13353-018-0433-x
5895667,4,12,14,Eye depth,,,,pPt-538354,,,,10.1007/s13353-018-0433-x
5895667,4,13,14,Eye depth,,,,pPt-650647,,,,10.1007/s13353-018-0433-x
5895667,4,14,14,Eye depth,,,,pPt-655594,,,,10.1007/s13353-018-0433-x
5895667,4,15,14,Eye depth,,,,pPt-540308,,,,10.1007/s13353-018-0433-x
5895667,4,16,14,Mean tuber weight,tuber,http://purl.obolibrary.org/obo/PO_0025522;http://purl.obolibrary.org/obo/SP_0000047,,pPt-457903,,,,10.1007/s13353-018-0433-x
5895667,4,17,14,Mean tuber weight,tuber,http://purl.obolibrary.org/obo/PO_0025522;http://purl.obolibrary.org/obo/SP_0000047,,pPt-651535,,,,10.1007/s13353-018-0433-x
5895667,4,18,14,Mean tuber weight,tuber,http://purl.obolibrary.org/obo/PO_0025522;http://purl.obolibrary.org/obo/SP_0000047,,pPt-654987,,,,10.1007/s13353-018-0433-x
5895667,4,19,14,Mean tuber weight,tuber,http://purl.obolibrary.org/obo/PO_0025522;http://purl.obolibrary.org/obo/SP_0000047,,pPt-654965,,,,10.1007/s13353-018-0433-x
5895667,4,20,14,Tuber flesh color,tuber flesh color,http://purl.obolibrary.org/obo/SP_0000188,,toPt-438004,,,,10.1007/s13353-018-0433-x
5895667,4,21,14,Tuber flesh color,tuber flesh color,http://purl.obolibrary.org/obo/SP_0000188,,TFC,,,,10.1007/s13353-018-0433-x
5854731,4,1,19,BRD,,,,toPt-437458,,,,10.1007/s00438-017-1387-0
5854731,4,2,19,BFB,,,,pPt-538190,,,,10.1007/s00438-017-1387-0
5854731,4,3,19,ED,,,,pPt-538519,,,,10.1007/s00438-017-1387-0
5854731,4,5,19,TSC,,,,pPt-538418,,,,10.1007/s00438-017-1387-0
5854731,4,6,19,TSC,,,,pPt-456904,,,,10.1007/s00438-017-1387-0
5854731,4,9,19,ED,,,,pPt-473371-pPt-540060,,,,10.1007/s00438-017-1387-0
5854731,4,10,19,BRD,,,,pPt-539905,,,,10.1007/s00438-017-1387-0
5854731,4,11,19,BFB,,,,pPt-539905,,,,10.1007/s00438-017-1387-0
5854731,4,12,19,SCBRD,,,,pPt-655798,,,,10.1007/s00438-017-1387-0
5854731,4,13,19,SCBFB,,,,pPt-540393,,,,10.1007/s00438-017-1387-0
5854731,4,14,19,ED,,,,pPt-650647,,,,10.1007/s00438-017-1387-0
5854731,4,15,19,TSC,,,,pPt-652324,,,,10.1007/s00438-017-1387-0
5854731,4,17,19,ED,,,,pPt-654764-pPt-653593,,,,10.1007/s00438-017-1387-0
5854731,4,18,19,BRD,,,,pPt-535666,,,,10.1007/s00438-017-1387-0
5854731,4,19,19,SCBRD,,,,pPt-535666,,,,10.1007/s00438-017-1387-0
5854731,4,20,19,ED,,,,pPt-535666,,,,10.1007/s00438-017-1387-0
5854731,4,21,19,TSC,,,,pPt-657529-pPt-656452,,,,10.1007/s00438-017-1387-0
5854731,4,24,19,ED,,,,pPt-456962,,,,10.1007/s00438-017-1387-0
5854731,4,25,19,TSC,,,,pPt-652232,,,,10.1007/s00438-017-1387-0
5854731,4,26,19,BRD,,,,pPt-651718,,,,10.1007/s00438-017-1387-0
5854731,4,27,19,SCBRD,,,,pPt-651718,,,,10.1007/s00438-017-1387-0
5636084,3,1,20,s25-1-1~s1472-1,,,,s1472-1,,,,10.1371/journal.pone.0185073
5636084,3,2,20,s1361-3-1,,,,s1361-3-1,,,,10.1371/journal.pone.0185073
5636084,3,3,20,s1328-1~s463-2,,,,s1328-1,,,,10.1371/journal.pone.0185073
5636084,3,4,20,s1267-1~s439-1,,,,s439-1,,,,10.1371/journal.pone.0185073
5636084,3,5,20,s61-1~s1671-2,,,,s1671-2,,,,10.1371/journal.pone.0185073
5636084,3,6,20,s1301-2-2~s999-1-2,,,,s1301-2-2,,,,10.1371/journal.pone.0185073
5636084,3,7,20,s1680-1~s571-2,,,,s1680-1,,,,10.1371/journal.pone.0185073
5636084,3,8,20,s571-2~s207-1,,,,s571-2,,,,10.1371/journal.pone.0185073
5636084,3,9,20,s1685-2~s61-2,,,,s1685-2,,,,10.1371/journal.pone.0185073
5636084,3,10,20,s10-2~s422-2-2,,,,s422-2-2,,,,10.1371/journal.pone.0185073
5636084,3,11,20,s1328-1~s463-2,,,,s1328-1,,,,10.1371/journal.pone.0185073
5636084,3,12,20,s463-2~s1191-2-2,,,,s463-2,,,,10.1371/journal.pone.0185073
5636084,3,13,20,s1191-3-2~s996-2-2,,,,s1191-3-2,,,,10.1371/journal.pone.0185073
5636084,3,14,20,s2-2~s71-4,,,,s71-4,,,,10.1371/journal.pone.0185073
5636084,3,15,20,s1437-4~s1437-2,,,,s1437-4,,,,10.1371/journal.pone.0185073
5636084,3,16,20,s678-2~s42-4,,,,s678-2,,,,10.1371/journal.pone.0185073
5636084,3,17,20,s367-3~s639-1-1,,,,s639-1-1,,,,10.1371/journal.pone.0185073
5636084,3,18,20,s639-1-1~s1685-1,,,,s639-1-1,,,,10.1371/journal.pone.0185073
5636084,3,19,20,s277-2~s429-2,,,,s429-2,,,,10.1371/journal.pone.0185073
5636084,3,20,20,s1680-1~s571-2,,,,s571-2,,,,10.1371/journal.pone.0185073
5636084,3,21,20,s678-2~s42-4,,,,s42-4,,,,10.1371/journal.pone.0185073
5567664,3,1,21,"TY (3), TSY (3)",,,,RADseq(3SNPs*)b,,,,10.1186/s12864-017-3979-9
5567664,3,2,21,"TSC (1), TY (7), TSY (5)",,,,RADseq(8SNPs),,,,10.1186/s12864-017-3979-9
5567664,3,3,21,"TSC (13), TY (8)",,,,RADseq(13SNPs),,,,10.1186/s12864-017-3979-9
5567664,3,4,21,"TSC (8), TY (19), TSY (14)",,,,RADseq(25SNPs),,,,10.1186/s12864-017-3979-9
5567664,3,5,21,TSC,,,,solcap_snp_c2_11924,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_11924,,,10.1186/s12864-017-3979-9
5567664,3,6,21,"TY, TSY, TSC",,,,solcap_snp_c2_54011,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_54011,,,10.1186/s12864-017-3979-9
5567664,3,7,21,"TSC (4), TY (9), TSY (6)",,,,RADseq(9SNPs*),,,,10.1186/s12864-017-3979-9
5567664,3,8,21,"TY (3), TSY (2)",,,,"solcap_snp_c2_9201,9202,9203",,,,10.1186/s12864-017-3979-9
5567664,3,9,21,"TSC (11), TY (11)",,,,RADseq(13SNPs*),,,,10.1186/s12864-017-3979-9
5567664,3,10,21,"TY, TSY",,,,solcap_snp_c2_3063,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_3063,,,10.1186/s12864-017-3979-9
5567664,3,11,21,"TSC (2), TY (2)",,,,"RADseq(3SNPs*),solcap_snp_c2_25372",http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_25372,,,10.1186/s12864-017-3979-9
4773602,6,1,41,11A/P,,,,SIP003,,,,10.3389/fpls.2016.00223
4773602,6,2,41,11A/P,,,,SIP004,,,,10.3389/fpls.2016.00223
4773602,6,7,41,11A,,,,SIP125,,,,10.3389/fpls.2016.00223
4773602,6,12,41,11A,,,,SIP150,,,,10.3389/fpls.2016.00223
4773602,6,13,41,11A/P,,,,SIP151,,,,10.3389/fpls.2016.00223
4773602,6,17,41,11A,,,,SIP188,,,,10.3389/fpls.2016.00223
4773602,6,21,41,11A,,,,SIP218,,,,10.3389/fpls.2016.00223
4773602,6,23,41,11A,,,,SIP232,,,,10.3389/fpls.2016.00223
4773602,6,24,41,11A/P,,,,SIP283,,,,10.3389/fpls.2016.00223
4773602,6,25,41,11A,,,,SIP291,,,,10.3389/fpls.2016.00223
4799268,4,1,44,TSC,,,,104(109),,,,10.1007/s00122-016-2665-7
4799268,4,2,44,TY,,,,41(46),,,,10.1007/s00122-016-2665-7
4799268,4,3,44,TSY,,,,29(30),,,,10.1007/s00122-016-2665-7
4799268,4,4,44,TN,,,,32(34),,,,10.1007/s00122-016-2665-7
4799268,4,5,44,TW,,,,60(63),,,,10.1007/s00122-016-2665-7
4703618,2,1,47,LSC5AN,,,,pPt-535988–pPt-538127,,,,10.1007/s00122-015-2615-9
4703618,2,2,47,7.49,,,,LSC5AL,,,,10.1007/s00122-015-2615-9
4703618,2,3,47,4.29,,,,TSC,,,,10.1007/s00122-015-2615-9
4703618,2,4,47,LSC5AL,,,,pPt-650366,,,,10.1007/s00122-015-2615-9
4703618,2,5,47,LSC11AN,,,,pPt-535462,,,,10.1007/s00122-015-2615-9
4703618,2,6,47,LSC11AL,,,,capPt-673196,,,,10.1007/s00122-015-2615-9
4703618,2,7,47,TSC,,,,toPt-440651,,,,10.1007/s00122-015-2615-9
4703618,2,8,47,LSC11AN,,,,pPt-656098,,,,10.1007/s00122-015-2615-9
4703618,2,9,47,TSC,,,,pPt-539763,,,,10.1007/s00122-015-2615-9
4703618,2,10,47,TSC,,,,toPt-437014–pPt-538033,,,,10.1007/s00122-015-2615-9
4703618,2,11,47,LSC11AN,,,,pPt-656044,,,,10.1007/s00122-015-2615-9
4703618,2,12,47,LSC11AL,,,,pPt-652452,,,,10.1007/s00122-015-2615-9
4703618,2,13,47,LSC11AN,,,,pPt-656209,,,,10.1007/s00122-015-2615-9
4703618,2,14,47,TSC,,,,toPt-438845,,,,10.1007/s00122-015-2615-9
4703618,2,15,47,LSC5AL,,,,pPt-657409,,,,10.1007/s00122-015-2615-9
4703618,2,16,47,LSC11AL,,,,pPt-537372,,,,10.1007/s00122-015-2615-9
4703618,2,17,47,LSC5AL,,,,pPt-651091,,,,10.1007/s00122-015-2615-9
4703618,2,18,47,LSC11AN,,,,pPt-552383,,,,10.1007/s00122-015-2615-9
4703618,2,19,47,TSC,,,,pPt-533878,,,,10.1007/s00122-015-2615-9
4703618,2,20,47,TSC,,,,pPt-471789,,,,10.1007/s00122-015-2615-9
4703618,2,21,47,LSC11AN,,,,P2,,,,10.1007/s00122-015-2615-9
4703618,2,22,47,TSC,,,,pPt-656237,,,,10.1007/s00122-015-2615-9
4648990,1,1,48,AH12,,,,pPt-473623-pPt656201,,,,10.1007/s11032-015-0415-1
4648990,1,2,48,AH13,,,,pPt-654681,,,,10.1007/s11032-015-0415-1
4648990,1,3,48,AH,,,,pPt-473623-pPt656201,,,,10.1007/s11032-015-0415-1
4648990,1,4,48,RC,,,,pPt-536041,,,,10.1007/s11032-015-0415-1
4648990,1,5,48,AH11,,,,pPt-540198-Myb48g,,,,10.1007/s11032-015-0415-1
4648990,1,6,48,AH12,,,,pPt-536863,,,,10.1007/s11032-015-0415-1
4648990,1,7,48,AH,,,,pPt-538874,,,,10.1007/s11032-015-0415-1
4648990,1,8,48,CS12,Cs,http://purl.obolibrary.org/obo/TO_0000051,,pPt457555-ppt-471500,,,,10.1007/s11032-015-0415-1
4648990,1,9,48,CS13,Cs,http://purl.obolibrary.org/obo/TO_0000051,,pPt-457555,,,,10.1007/s11032-015-0415-1
4648990,1,10,48,CS,Cs,http://purl.obolibrary.org/obo/TO_0000051,,pPt457555-ppt-471500,,,,10.1007/s11032-015-0415-1
4648990,1,11,48,RC12,,,,pPt-536863,,,,10.1007/s11032-015-0415-1
4648990,1,12,48,RC,,,,pPt-536863,,,,10.1007/s11032-015-0415-1
4632055,3,1,51,Late Blight -2002,,,9,"Simplex,h4,c1_10590",,,,10.1534/g3.115.019646
4632055,3,2,51,Late Blight -2003,,,9,"Simplex,h4,c1_10590",,,,10.1534/g3.115.019646
4632055,3,3,51,Maturity-2002,,,5,"Duplex-simplex,c2_22986",,,,10.1534/g3.115.019646
4632055,3,4,51,Maturity-2003,,,5,"Duplex-simplex,c2_22986",,,,10.1534/g3.115.019646
4354307,2,1,53,C6 2012,,,,gwd1ct,,,,10.3389/fpls.2015.00143
4354307,2,2,53,C6 2012,,,,gwd2gt,,,,10.3389/fpls.2015.00143
4354307,2,3,53,C6 2012,,,,gwd14ga,,,,10.3389/fpls.2015.00143
4354307,2,4,53,C6 2012,,,,gwd26ag,,,,10.3389/fpls.2015.00143
4354307,2,5,53,C6 2012,,,,gwd27cg,,,,10.3389/fpls.2015.00143
4354307,2,6,53,C3 2011,,,,sbei2ag,,,,10.3389/fpls.2015.00143
4354307,2,7,53,C6 2011,,,,sbei2ag,,,,10.3389/fpls.2015.00143
4354307,2,8,53,C6 2012,,,,sbei2ag,,,,10.3389/fpls.2015.00143
4354307,2,9,53,C3 2011,,,,sbei5tc,,,,10.3389/fpls.2015.00143
4354307,2,10,53,C3 2012,,,,ssiii7tc,,,,10.3389/fpls.2015.00143
4354307,2,11,53,C3 2012,,,,ssiii11gc,,,,10.3389/fpls.2015.00143
4354307,2,12,53,C3 2011,,,,sbeii180,,,,10.3389/fpls.2015.00143
4354307,2,13,53,C6 2011,,,,sbeii180,,,,10.3389/fpls.2015.00143
4374564,5,1,54,30/31 genotypes (96.7%),,,,RFLP(GP125),,,,10.1270/jsbbs.65.53
4374564,5,2,54,77/77 F1 progeny 112/117 genotypes (95.7%),,,,"RFLP(ADG2probe,3.5kbfragment)",,,,10.1270/jsbbs.65.53
4374564,5,3,54,77/77 genotypes (100%),,,,CAPS(ADG2fragment),,,,10.1270/jsbbs.65.53
4374564,5,4,54,97/117 genotypes (83%) for different origins of Ry sources,RY,http://purl.obolibrary.org/obo/TO_0000153,,"RFLP(ADG2probe,10.5kbfragment)",,,,10.1270/jsbbs.65.53
4374564,5,5,54,103/103 genotypes (100%),,,,SCAR(ADG2fragmentwithRYSC3primers),,,,10.1270/jsbbs.65.53
4551535,5,2,58,Biomass,,,11,stsnp_c1_2221,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_2221,,,10.1007/s11105-014-0824-z
4551535,5,14,58,Plant height,plant height,http://purl.obolibrary.org/obo/TO_0000207;http://purl.obolibrary.org/obo/SP_0000402,10,stsnp_c1_12614,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_12614,,,10.1007/s11105-014-0824-z
4551535,5,25,58,Stem diameter,stem diameter,http://purl.obolibrary.org/obo/TO_0020083,10,stsnp_c1_7206,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_7206,,,10.1007/s11105-014-0824-z
4551535,6,10,59,Stem diameter,stem diameter,http://purl.obolibrary.org/obo/TO_0020083,8,stsnp_c1_12166,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_12166,,,10.1007/s11105-014-0824-z
4551535,6,11,59,Stem diameter,stem diameter,http://purl.obolibrary.org/obo/TO_0020083,8,stsnp_c1_12166,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_12166,,,10.1007/s11105-014-0824-z
4551535,6,16,59,Tuber weight,tuber,http://purl.obolibrary.org/obo/PO_0025522;http://purl.obolibrary.org/obo/SP_0000047,1,Stsnp_c1_2501,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_2501,,,10.1007/s11105-014-0824-z
2938457,4,1,92,"Underwater weight, after cooking darkening, after baking darkening",,,,E38_M60_175_67,,,,10.1007/s00122-010-1379-5
2938457,4,2,92,"Underwater weight, after cooking darkening, after baking darkening",,,,E38_M60_359_93,,,,10.1007/s00122-010-1379-5
2938457,4,3,92,"Underwater weight, after cooking darkening, after baking darkening",,,,E32_M49_305_19,,,,10.1007/s00122-010-1379-5
2938457,4,4,92,"Underwater weight, after cooking darkening, after baking darkening",,,,E32_M48_194_28,,,,10.1007/s00122-010-1379-5
2938457,4,5,92,"Underwater weight, after cooking darkening, after baking darkening",,,,E33_M55_163_15,,,,10.1007/s00122-010-1379-5
2938457,4,6,92,"Underwater weight, after cooking darkening, after baking darkening",,,,P12_M41_104_62,,,,10.1007/s00122-010-1379-5
2938457,4,7,92,"Underwater weight, after cooking darkening, after baking darkening",,,,E35_M54_521_76,,,,10.1007/s00122-010-1379-5
2938457,4,9,92,"After baking darkening, Chipping colour, Underwater weight",,,,E32_M61_156_96,,,,10.1007/s00122-010-1379-5
2938457,4,10,92,"After baking darkening, chipping colour, underwater weight",,,,E35_M61_137_00,,,,10.1007/s00122-010-1379-5
2938457,4,11,92,"After baking darkening, chipping colour, underwater weight",,,,E33_M36_082_76,,,,10.1007/s00122-010-1379-5
2938457,4,12,92,"After baking darkening, chipping colour, underwater weight",,,,E32_M41_103_80,,,,10.1007/s00122-010-1379-5
2938457,4,21,92,"After cooking darkening, after baking darkening",,,,E32_M48_204_62,,,,10.1007/s00122-010-1379-5
2690854,2,1,93,KW,,,,10618-01,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_10618,,,10.1007/s00122-009-1024-3
2690854,2,3,93,KW,,,,320-02,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_320,,,10.1007/s00122-009-1024-3
2690854,2,5,93,IM,,,,10618-01,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_10618,,,10.1007/s00122-009-1024-3
2690854,2,7,93,IM,,,,320-02,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_320,,,10.1007/s00122-009-1024-3
